Dancer,Appearances,Wins,Top 3,Win Rate,Top 3 Rate,Avg Placement,Avg Judge Score,Avg Fan Votes
Artem Chigvintsev,12,1,1,8.3%,8.3%,7.4,29.2,1.88M
Cheryl Burke,25,2,8,8.0%,32.0%,5.8,25.1,1.61M
Witney Carson,14,1,5,7.1%,35.7%,5.5,29.0,1.90M
Sharna Burgess,14,1,5,7.1%,35.7%,6.6,27.7,1.99M
Emma Slater,16,1,1,6.2%,6.2%,7.9,26.0,1.93M
Maksim Chmerkoskiy,17,1,5,5.9%,29.4%,6.0,25.9,1.57M
Karina Smirnoff,18,1,4,5.6%,22.2%,6.7,23.8,1.58M
Julianne Hough,5,2,2,40.0%,40.0%,4.2,24.6,1.35M
Tony Dovolani,21,1,3,4.8%,14.3%,7.7,24.0,1.38M
Derek Hough,17,6,9,35.3%,52.9%,2.9,28.8,1.66M
Jenna Johnson,9,2,4,22.2%,44.4%,6.4,25.8,1.95M
Alec Mazo,5,1,1,20.0%,20.0%,8.4,22.3,1.22M
Daniella Karagach,5,1,3,20.0%,60.0%,4.6,28.5,2.18M
Valentin Chmerkovskiy,19,3,9,15.8%,47.4%,5.3,30.3,1.87M
Kym Johnson,14,2,4,14.3%,28.6%,6.3,24.3,1.48M
Mark Ballas,21,3,10,14.3%,47.6%,5.2,27.9,1.70M
Peta Murgatroyd,15,2,2,13.3%,13.3%,7.4,26.7,1.79M
Alan Bersten,9,1,2,11.1%,22.2%,6.1,27.5,2.00M
Lindsay Arnold,10,1,4,10.0%,40.0%,5.4,27.0,2.11M
Dmitry Chaplin,3,0,1,0.0%,33.3%,7.0,24.3,1.45M
Louis van Amstel,11,0,1,0.0%,9.1%,7.0,23.2,1.37M
Jonathan Roberts,7,0,1,0.0%,14.3%,8.7,22.7,1.24M
Britt Stewart,6,0,0,0.0%,0.0%,10.0,25.7,2.35M
Pasha Pashkov,7,0,1,0.0%,14.3%,10.4,26.1,2.05M
Brandon Armstrong,8,0,1,0.0%,12.5%,9.1,26.8,2.03M
Ashly DelGrosso,4,0,1,0.0%,25.0%,7.2,17.3,1.11M
Keo Motsepe,9,0,1,0.0%,11.1%,9.9,23.4,1.94M
Allison Holker,4,0,1,0.0%,25.0%,7.2,30.3,1.90M
Edyta Sliwinska,11,0,2,0.0%,18.2%,7.5,22.2,1.29M
Anna Trebunskaya,11,0,2,0.0%,18.2%,8.2,21.7,1.49M
Sasha Farber,12,0,2,0.0%,16.7%,6.1,28.6,1.96M
Lacey Schwimmer,6,0,2,0.0%,33.3%,6.2,22.1,1.42M
Gleb Savchenko,13,0,0,0.0%,0.0%,8.5,26.4,2.05M
Chelsie Hightower,7,0,0,0.0%,0.0%,7.3,22.8,1.49M
Tristan MacManus,5,0,0,0.0%,0.0%,9.6,20.5,1.51M
Rylee Arnold,3,0,0,0.0%,0.0%,6.7,23.5,2.14M
