Season,Week,N_Contestants,Eliminated,Converged,Rhat,Mean_Fan_Votes,Uncertainty
1,2,6,Trista Sutter,True,1.0099012288240647,1077721.2016015116,0.8611816537394557
1,4,4,Rachel Hunter,True,1.0058334758353862,1067121.9521118118,0.9351856170603088
2,2,9,Tatum O'Neal,False,17930412142.118706,1090014.4776150973,0.4062654867684026
2,3,8,Giselle Fernandez,False,1.0171565965434795,1141152.3137691393,0.8620462809158753
2,5,6,Tia Carrere,True,1.0071835545739203,1203882.184468325,0.585051948269866
2,6,5,George Hamilton,False,1.023687814898774,1193635.5931540742,0.6735021826328124
2,7,4,Lisa Rinna,False,1.0121783464230036,1237232.7949411406,0.892257885488871
3,1,11,Tucker Carlson,True,1.003271742868643,1141848.5802796728,1.0282648338384244
3,2,10,Shanna Moakler,True,1.001256123278836,1161779.579589673,0.9954864659137114
3,3,9,Harry Hamlin,True,1.0044224712544645,1175351.506459563,0.9810386349793718
3,4,8,Vivica A. Fox,True,1.0022712551956938,1198674.4824379508,0.9560544672333369
3,5,7,Willa Ford,True,1.0057901783258498,1206961.278426835,0.9314034613307702
3,7,5,Jerry Springer,True,1.000647010553532,1195018.5627754938,0.9896406987868731
3,8,4,Monique Coleman,True,1.000547155442426,1192179.9730183494,0.9433119297277909
4,2,11,Paulina Porizkova,True,1.0030617458374418,1216567.2550482044,0.98211500883072
4,3,10,Shandi Finnessey,True,1.0095155233547415,1235811.5029792206,0.9622182679639962
4,4,9,Leeza Gibbons,True,1.001349778155648,1251106.2862361,0.9938390370887105
4,5,8,Clyde Drexler,True,1.001727858617291,1273333.8476955735,0.995438954800338
4,6,7,Heather Mills,True,1.002961223464716,1257137.5379720556,0.9417627767140297
4,7,6,John Ratzenberger,True,1.0025057296815878,1301679.3516024828,0.9912959232047268
4,8,5,Billy Ray Cyrus,True,1.0009352830589278,1323118.7549376066,0.9767581487786334
4,9,4,Ian Ziering,True,1.000687924167903,1354089.7704169063,0.9308703712577042
5,1,12,Josie Maran,True,1.0019802123467052,1238465.9262050136,0.9898506870889446
5,2,11,Albert Reed,True,1.004449788929358,1233512.5942729833,0.9219744123742939
5,3,10,Wayne Newton,True,1.0019530382189743,1239690.2534423706,0.9695500309308578
5,4,9,Floyd Mayweather Jr. ,True,1.0018489856080253,1235222.8732021207,0.921624298542133
5,5,8,Mark Cuban,True,1.0012615546130323,1241169.9540353557,0.9460997154753494
5,6,7,Sabrina Bryan,True,1.0029636568623432,1227292.2970034073,0.9052926797887195
5,7,6,Jane Seymour,True,1.000080213864817,1237322.3492144963,0.9312854735347772
5,8,5,Cameron Mathison,True,1.0012737327285608,1259071.1029272657,0.913900540885825
5,9,4,Jennie Garth,True,1.0001118303321042,1280745.8972771373,0.881746474378054
6,2,12,Penn Jillette,True,1.001728709597594,1292000.7312848568,0.9355455362612992
6,3,10,Steve Guttenberg,True,1.002481782418047,1270563.89392387,0.9162097406745101
6,4,9,Adam Carolla,True,1.0040189163112934,1289400.0903704753,0.9577823187988069
6,5,8,Priscilla Presley,True,1.0040364715689383,1301121.7562878372,0.9319199609803358
6,6,7,Marlee Matlin,True,1.0000385112072576,1326071.0592291648,0.9369599651914344
6,7,6,Shannon Elizabeth,True,1.003429324381449,1370158.5094409343,0.879921959629733
6,8,5,Mario,True,1.0020884114954887,1389527.4416945283,0.885467303163735
6,9,4,Marissa Jaret Winokur,True,1.0030824119299255,1358070.4620927304,0.893384234192082
7,1,13,Jeffrey Ross,True,1.0009965140330541,1312491.3775672535,0.9380527036890766
7,2,11,Kim Kardashian,True,1.0027169027397447,1336432.0567411305,0.8999955396933071
7,4,9,Rocco DiSpirito,True,1.001385184050989,1321315.7863369435,0.9227202395224255
7,5,8,Toni Braxton,True,1.00378687981782,1351410.832767047,0.8905535296401548
7,6,7,Cloris Leachman,True,1.0039866565251523,1332988.0271160014,0.9607242518582481
7,7,6,Susan Lucci,True,1.0013381437391018,1378285.7424781185,0.8791995216093015
7,8,5,Maurice Greene,True,1.0034213924289719,1389666.6276395577,0.8308865304066002
7,9,4,Cody Linley,True,1.001192495537281,1376487.2490409901,0.8565305667293556
8,1,13,Ty Murray,True,1.0051763921002328,1373918.9853797017,0.8762229153528268
8,2,13,Belinda Carlisle,True,1.0034637366636725,1371896.693462003,0.8727968624431993
8,3,12,Denise Richards,False,1.0100458547464521,1375612.1283414988,0.881773439616279
