Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S1W2,0.0,0.0,0.0,0.0
S1W4,0.0,0.0,0.0,0.0
S2W3,0.0,0.0,0.0,0.0
S2W5,1.0,0.0,0.0,0.0
S2W6,1.0,0.0,0.0,0.0
S2W7,0.15533333333333332,0.0,0.0,0.010666666666666666
S3W1,0.888,1.0,0.9913333333333333,1.0
S3W2,0.13133333333333333,1.0,0.002,0.12333333333333334
S3W3,0.96,1.0,0.0013333333333333333,0.5746666666666667
S3W4,0.9546666666666667,1.0,0.006,0.3406666666666667
S3W5,0.0,1.0,0.0,0.30666666666666664
S3W7,0.9246666666666666,1.0,0.9986666666666667,1.0
S3W8,1.0,1.0,1.0,1.0
S4W2,0.448,1.0,0.004,0.6306666666666667
S4W3,0.46266666666666667,1.0,0.026,0.3586666666666667
S4W4,0.49733333333333335,1.0,0.13133333333333333,0.7466666666666667
S4W5,0.8833333333333333,1.0,0.97,1.0
S4W6,0.57,1.0,0.10133333333333333,0.26666666666666666
S4W7,0.9926666666666667,1.0,0.2786666666666667,0.372
S4W8,0.824,1.0,0.9926666666666667,1.0
S4W9,1.0,1.0,1.0,1.0
S5W1,0.9513333333333334,1.0,0.9913333333333333,1.0
S5W2,0.034,1.0,0.11733333333333333,0.3973333333333333
S5W3,0.9553333333333334,1.0,0.9946666666666667,1.0
S5W4,0.9466666666666667,1.0,0.4,0.6013333333333334
S5W5,0.8566666666666667,1.0,0.41533333333333333,1.0
S5W6,0.24533333333333332,1.0,0.017333333333333333,0.39866666666666667
S5W7,0.992,1.0,1.0,1.0
S5W8,0.808,1.0,0.007333333333333333,0.332
S5W9,0.9986666666666667,1.0,0.008666666666666666,0.5666666666666667
S6W2,0.8066666666666666,1.0,0.424,0.388
S6W3,1.0,1.0,0.023333333333333334,0.666
S6W4,0.9006666666666666,1.0,0.9933333333333333,1.0
S6W5,0.9893333333333333,1.0,0.9993333333333333,1.0
S6W6,0.992,1.0,0.996,1.0
S6W7,0.7293333333333333,1.0,0.08133333333333333,0.504
S6W8,0.31266666666666665,1.0,0.036,0.3953333333333333
S6W9,0.998,1.0,1.0,1.0
S7W1,0.8246666666666667,1.0,0.9666666666666667,1.0
S7W2,0.6926666666666667,1.0,0.12333333333333334,0.17133333333333334
S7W4,0.942,1.0,0.9973333333333333,1.0
S7W5,0.24133333333333334,1.0,0.023333333333333334,0.396
S7W6,0.9626666666666667,1.0,0.974,1.0
S7W7,0.896,1.0,0.062,0.2826666666666667
S7W8,0.674,1.0,0.196,1.0
S7W9,0.9973333333333333,1.0,0.9986666666666667,1.0
S8W1,0.9633333333333334,1.0,0.54,0.46066666666666667
