Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S1W2,0.0,0.0,0.0,0.0
S1W4,0.0,0.0,0.0,0.0
S2W2,0.0,0.0,0.0,0.0
S2W3,0.0,0.0,0.0,0.0
S2W5,1.0,0.0006666666666666666,0.0,0.0006666666666666666
S2W6,1.0,0.0,0.0,0.0
S2W7,0.16466666666666666,0.0,0.0,0.010666666666666666
S3W1,0.892,1.0,0.988,1.0
S3W2,0.19466666666666665,1.0,0.005333333333333333,0.166
S3W3,0.9593333333333334,1.0,0.0033333333333333335,0.5846666666666667
S3W4,0.9486666666666667,1.0,0.011333333333333334,0.4046666666666667
S3W5,0.0,1.0,0.0,0.346
S3W7,0.9173333333333333,1.0,1.0,1.0
S3W8,1.0,1.0,1.0,1.0
S4W2,0.526,1.0,0.006,0.6826666666666666
S4W3,0.5193333333333333,1.0,0.026,0.384
S4W4,0.546,1.0,0.15333333333333332,0.7293333333333333
S4W5,0.8826666666666667,1.0,0.9653333333333334,1.0
S4W6,0.5333333333333333,1.0,0.096,0.24333333333333335
S4W7,0.9933333333333333,1.0,0.32866666666666666,0.4226666666666667
S4W8,0.8413333333333334,1.0,0.9933333333333333,1.0
S4W9,1.0,1.0,1.0,1.0
S5W1,0.954,1.0,0.994,1.0
S5W2,0.019333333333333334,1.0,0.11933333333333333,0.414
S5W3,0.966,1.0,0.998,1.0
S5W4,0.934,1.0,0.4046666666666667,0.5993333333333334
S5W5,0.8393333333333334,1.0,0.4806666666666667,1.0
S5W6,0.264,1.0,0.017333333333333333,0.36933333333333335
S5W7,0.988,1.0,1.0,1.0
S5W8,0.7946666666666666,1.0,0.008666666666666666,0.286
S5W9,0.9993333333333333,1.0,0.013333333333333334,0.6626666666666666
S6W2,0.804,1.0,0.4266666666666667,0.3953333333333333
S6W3,1.0,1.0,0.02,0.6666666666666666
S6W4,0.882,1.0,0.996,1.0
S6W5,0.9866666666666667,1.0,0.9986666666666667,1.0
S6W6,0.9886666666666667,1.0,0.9946666666666667,1.0
S6W7,0.768,1.0,0.10133333333333333,0.5593333333333333
S6W8,0.276,1.0,0.027333333333333334,0.35333333333333333
S6W9,0.9966666666666667,1.0,1.0,1.0
S7W1,0.7933333333333333,1.0,0.958,1.0
S7W2,0.7246666666666667,1.0,0.138,0.20133333333333334
S7W4,0.9433333333333334,1.0,1.0,1.0
S7W5,0.20066666666666666,1.0,0.018666666666666668,0.3973333333333333
S7W6,0.9686666666666667,1.0,0.9753333333333334,1.0
S7W7,0.9053333333333333,1.0,0.04733333333333333,0.256
S7W8,0.6686666666666666,1.0,0.19866666666666666,1.0
